temperature,tiltState,digitalVibrationState,soundState,analogVibration,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
29.85,1,0,1,899,0.18,-0.01,-1,-0.48,-1.53,0.02,0
29.8,1,0,1,898,0.19,0,-1.06,-0.48,-1.63,-0.05,0
29.8,1,0,1,899,0.18,-0.01,-1.06,-0.39,-1.56,0.15,0
29.75,1,0,1,899,0.19,-0.01,-1.05,-0.24,-1.4,0.15,0
29.85,1,0,1,899,0.18,-0.01,-1.04,-0.37,-1.59,0.14,0
29.75,1,0,1,899,0.19,0,-1.03,-0.25,-1.47,0.05,0
29.71,1,0,1,899,0.19,-0.01,-1.09,-0.4,-1.6,0.09,0
29.89,1,0,1,899,0.18,-0.01,-1.01,-0.38,-1.39,0.08,0
29.8,1,0,1,899,0.19,0,-1.06,-0.35,-1.58,0.08,0
29.75,1,0,1,899,0.19,0,-1.04,-0.28,-1.49,0.21,0
29.75,1,0,1,899,0.17,-0.01,-1.02,-0.6,-1.5,0.08,0
29.8,1,0,1,899,0.19,-0.01,-1.07,-0.29,-1.75,0.15,0
29.71,1,0,1,899,0.18,0,-1.05,-0.34,-1.44,0.21,0
29.89,1,0,1,899,0.19,0,-1.04,-0.38,-1.6,0.16,0
29.75,1,0,1,899,0.18,0,-1.02,-0.21,-1.57,0.12,0
29.75,1,0,1,899,0.18,0,-1.07,-0.35,-1.54,0.21,0
29.75,1,0,1,899,0.18,-0.01,-1.05,-0.3,-1.36,0.04,0
29.8,1,0,1,898,0.18,-0.01,-1.02,-0.37,-1.47,0.24,0
29.75,1,0,1,899,0.19,0,-1.08,-0.21,-1.85,0.11,0
29.89,1,0,1,899,0.2,-0.01,-1.14,-0.27,-1.53,0.27,0
29.75,1,0,1,899,0.17,-0.01,-1.02,-0.26,-1.46,0.08,0
29.85,1,0,1,899,0.2,-0.01,-1.13,-0.44,-1.34,-0.01,0
29.75,1,0,1,899,0.18,0,-1.02,-0.34,-1.61,0.16,0
29.8,1,0,1,899,0.18,-0.01,-1.02,-0.6,-1.53,0.22,0
29.71,1,0,1,899,0.18,-0.01,-1.03,-0.31,-1.47,0.1,0
29.8,1,0,1,899,0.19,-0.01,-1.08,-0.23,-1.79,-0.01,0
29.75,1,0,1,899,0.2,-0.01,-1.14,-0.32,-1.6,0.04,0
29.75,1,0,1,899,0.19,-0.01,-1.05,-0.5,-1.53,-0.02,0
29.75,1,0,1,899,0.19,0,-1.07,-0.24,-1.56,0,0
29.8,1,0,1,899,0.21,-0.01,-1.16,-0.28,-1.82,0.11,0
29.8,1,0,1,899,0.19,-0.01,-1.06,-0.25,-1.59,0.02,0
29.85,1,0,1,899,0.19,-0.01,-1.06,-0.35,-1.47,0.14,0
29.75,1,0,1,899,0.19,-0.01,-1.05,-0.34,-1.45,0.21,0
29.75,1,0,1,899,0.19,-0.01,-1.05,-0.46,-1.39,0.14,0
29.8,1,0,1,899,0.17,-0.01,-1,-0.48,-1.38,0.26,0
29.89,1,0,1,898,0.17,0,-0.95,-0.43,-1.43,0.16,0
29.89,1,0,1,899,0.18,0,-1.05,-0.26,-1.57,0.14,0
29.85,1,0,1,899,0.18,0,-0.99,-0.37,-1.54,0.09,0
29.75,1,0,1,899,0.19,-0.01,-1.01,-0.41,-1.51,0.12,0
29.75,1,0,1,899,0.17,-0.01,-0.93,-0.47,-1.62,0.16,0
29.71,1,0,1,899,0.19,0,-1.05,-0.31,-1.42,0.13,0
29.71,1,0,1,899,0.19,-0.01,-1.08,-0.27,-1.53,0.08,0
29.75,1,0,1,899,0.18,-0.01,-1.05,-0.31,-1.44,0.15,0
29.85,1,0,1,899,0.18,-0.01,-1.01,-0.44,-1.5,0.13,0
29.75,1,0,1,899,0.19,-0.01,-1.03,-0.33,-1.6,0.19,0
29.75,1,0,1,899,0.19,-0.01,-1.02,-0.31,-1.71,0.19,0
29.89,1,0,1,899,0.18,-0.01,-1.05,-0.2,-1.47,0.05,0
29.8,1,0,1,899,0.18,0,-1.03,-0.37,-1.6,0.21,0
29.8,1,0,1,899,0.18,0,-0.99,-0.34,-1.53,0.2,0
29.75,1,0,1,899,0.18,0,-1.02,-0.37,-1.53,0.09,0
29.75,1,0,1,899,0.2,0,-1.12,-0.44,-1.42,0.1,0
29.71,1,0,1,899,0.19,-0.01,-1.04,-0.43,-1.51,0.11,0
29.8,1,0,1,899,0.21,0,-1.16,-0.4,-1.34,0.18,0
29.75,1,0,1,899,0.19,0,-1.07,-0.47,-1.35,0.17,0
29.75,1,0,1,899,0.18,0,-0.97,-0.21,-1.56,0.23,0
29.75,1,0,1,899,0.19,0,-1.07,-0.3,-1.48,0.06,0
29.75,1,0,1,899,0.19,-0.01,-1.06,-0.28,-1.6,0.05,0
29.89,1,0,1,899,0.18,-0.01,-1.02,-0.45,-1.68,0.03,0
29.8,1,0,1,899,0.19,-0.01,-1.04,-0.48,-1.34,0.2,0
29.85,1,0,1,899,0.19,0,-1.09,-0.29,-1.6,0.04,0
29.75,1,0,1,899,0.18,0,-1.04,-0.34,-1.44,0.03,0
29.66,1,0,1,899,0.2,0,-1.13,-0.28,-1.65,0.16,0
29.8,1,0,1,899,0.19,-0.01,-1.05,-0.28,-1.56,0.08,0
29.8,1,0,1,899,0.17,-0.01,-1,-0.34,-1.53,-0.03,0
29.85,1,0,1,899,0.17,-0.01,-0.89,-0.34,-1.62,0.07,0
29.85,1,0,1,899,0.18,0,-1.06,-0.3,-1.53,0.19,0
29.85,1,0,1,899,0.2,-0.01,-1.11,-0.31,-1.5,0.15,0
29.8,1,0,1,899,0.17,-0.01,-0.98,-0.1,-1.59,0.01,0
29.8,1,0,1,899,0.19,-0.01,-1.07,-0.35,-1.6,0.08,0
29.66,1,0,1,899,0.17,0,-0.95,-0.37,-1.44,0.14,0
29.8,1,0,1,899,0.18,-0.01,-0.98,-0.44,-1.5,0.05,0
29.85,1,0,1,899,0.2,-0.01,-1.15,-0.23,-1.68,0.03,0
29.8,1,0,1,899,0.19,-0.01,-1.11,-0.3,-1.28,0.15,0
29.75,1,0,1,899,0.18,-0.01,-1.05,-0.32,-1.61,0.09,0
29.71,1,0,1,899,0.19,-0.01,-1.08,-0.37,-1.44,0.17,0
29.85,1,0,1,899,0.18,-0.01,-0.99,-0.47,-1.51,0.21,0
29.71,1,0,1,899,0.2,-0.01,-1.16,-0.37,-1.65,0.22,0
29.85,1,0,1,899,0.18,0,-1.02,-0.43,-1.38,0.1,0
29.8,1,0,1,899,0.19,0,-1.04,-0.62,-1.39,0.23,0
29.75,1,0,1,899,0.2,-0.01,-1.13,-0.25,-1.47,0.05,0
29.85,1,0,1,899,0.18,-0.01,-1.04,-0.42,-1.57,0.11,0
29.8,1,0,1,899,0.2,-0.01,-1.15,-0.11,-1.63,0.21,0
29.75,1,0,1,899,0.16,-0.01,-0.93,-0.27,-1.35,0.18,0
29.85,1,0,1,898,0.2,-0.01,-1.17,-0.36,-1.6,0.12,0
29.8,1,0,1,899,0.18,0,-1.03,-0.35,-1.52,0.13,0
29.75,1,0,1,899,0.18,-0.01,-1.03,-0.44,-1.32,0.2,0
29.8,1,0,1,899,0.2,-0.01,-1.18,-0.23,-1.73,0.11,0
29.71,1,0,1,899,0.2,0,-1.14,-0.31,-1.48,0.31,0
29.75,1,0,1,898,0.2,0,-1.11,-0.32,-1.5,0.26,0
29.89,1,0,1,899,0.16,-0.01,-0.88,-0.24,-1.89,0.13,0
29.75,1,0,1,899,0.2,0,-1.16,-0.22,-1.51,0.03,0
29.75,1,0,1,898,0.18,0,-0.99,-0.28,-1.67,0.12,0
29.8,1,0,1,899,0.17,0,-0.89,-0.24,-1.42,0.06,0
29.85,1,0,1,899,0.2,-0.01,-1.13,-0.25,-1.63,0.11,0
29.75,1,0,1,899,0.18,0,-1.03,-0.4,-1.66,0.14,0
29.89,1,0,1,899,0.2,-0.01,-1.12,-0.33,-1.55,0.18,0
29.75,1,0,1,899,0.19,0,-1.09,-0.46,-1.56,0.17,0
29.85,1,0,1,899,0.17,0,-0.96,-0.34,-1.4,0.18,0
29.89,1,0,1,899,0.22,-0.01,-1.24,-0.43,-1.71,0.27,0
29.75,1,0,1,899,0.18,-0.01,-1.03,-0.44,-1.49,0.21,0
29.8,1,0,1,899,0.18,0,-0.99,-0.47,-1.64,0.05,0
29.89,1,0,1,899,0.18,-0.01,-1.1,-0.21,-1.5,0.15,0
29.85,1,0,1,899,0.17,-0.01,-0.96,-0.45,-1.63,-0.07,0
29.8,1,0,1,899,0.18,-0.01,-1.02,-0.33,-1.41,0.13,0
29.8,1,0,1,899,0.18,-0.01,-1.01,-0.23,-1.34,0.02,0
29.85,1,0,1,899,0.17,0,-1.01,-0.39,-1.51,0.06,0
29.71,1,0,1,899,0.17,-0.01,-0.89,-0.42,-1.56,0.14,0
29.66,1,0,1,899,0.18,-0.01,-0.97,-0.53,-1.44,0.05,0
29.85,1,0,1,899,0.17,0,-0.94,-0.33,-1.42,0.05,0
29.8,1,0,1,899,0.18,-0.01,-1.01,-0.34,-1.6,0.08,0
29.8,1,0,1,899,0.19,-0.01,-1.09,-0.27,-1.79,0.16,0
29.75,1,0,1,899,0.17,0,-0.89,-0.35,-1.44,0.09,0
29.8,1,0,1,899,0.17,-0.01,-1,-0.29,-1.56,-0.02,0
29.75,1,0,1,899,0.18,0,-0.98,-0.31,-1.47,0.06,0
29.89,1,0,1,899,0.18,-0.01,-0.99,-0.44,-1.56,0.08,0
29.8,1,0,1,899,0.19,-0.01,-1.06,-0.41,-1.45,0.27,0
29.75,1,0,1,898,0.19,-0.01,-1.06,-0.34,-1.58,0.03,0
29.8,1,0,1,899,0.19,0,-1.06,-0.47,-1.47,0.17,0
29.71,1,0,1,899,0.19,-0.01,-1.06,-0.44,-1.25,0.26,0
29.75,1,0,1,899,0.19,0,-1.06,-0.31,-1.6,-0.04,0
29.8,1,0,1,898,0.19,-0.01,-1.06,-0.56,-1.37,0.05,0
29.89,1,0,1,899,0.19,0,-1.06,-0.36,-1.69,0.24,0
29.85,1,0,1,899,0.19,0,-1.07,-0.47,-1.44,0.06,0
29.8,1,0,1,899,0.18,-0.01,-1.06,-0.27,-1.44,-0.05,0
29.75,1,0,1,899,0.18,-0.01,-1.06,-0.3,-1.56,0.08,0
29.85,1,0,1,899,0.19,-0.01,-1.06,-0.27,-1.47,0.27,0
29.89,1,0,1,899,0.18,-0.01,-1.06,-0.26,-1.53,0.21,0
29.85,1,0,1,899,0.19,-0.01,-1.05,-0.4,-1.37,0.09,0
29.89,1,0,1,899,0.19,0,-1.06,-0.31,-1.55,0.02,0
29.75,1,0,1,899,0.19,0,-1.05,-0.4,-1.47,0.11,0
29.85,1,0,1,899,0.19,0,-1.05,-0.25,-1.58,0.11,0
29.8,1,0,1,898,0.19,-0.01,-1.07,-0.33,-1.58,0.17,0
29.71,1,0,1,898,0.19,0,-1.06,-0.46,-1.57,0.27,0
30.08,1,0,1,896,0.1,0.03,-1.01,-0.47,-1.1,0.25,0
30.08,1,0,1,896,0.09,0.03,-0.94,-0.72,-1.07,0.27,0
30.08,1,0,1,896,0.09,0.02,-0.9,-0.63,-0.98,0.33,0
30.08,1,0,1,895,0.09,0.03,-0.81,-0.73,-1.21,0.19,0
30.04,1,0,1,895,0.09,0.02,-0.78,-0.95,-1.04,0.15,0
30.08,1,0,1,895,0.1,0.02,-0.82,-1.24,-1.31,0.11,0
30.08,1,0,1,895,0.11,0.02,-0.87,-0.98,-0.76,0.18,0
29.99,1,0,1,895,0.11,0.01,-0.9,-1.02,-1.02,0.33,0
30.18,1,0,1,895,0.12,0.02,-0.97,-0.86,-0.56,0.27,0
30.04,1,0,1,895,0.12,0.02,-1.06,-0.91,-0.74,0.39,0
30.08,1,0,1,895,0.14,0.02,-1.16,-1.31,-1.26,0.26,0
30.08,1,0,1,895,0.15,0.02,-1.28,-0.85,-0.45,0.53,0
30.04,1,0,1,895,0.15,0.01,-1.37,-0.79,-0.26,0.5,0
30.08,1,0,1,895,0.16,0.02,-1.4,-0.34,-0.73,0.33,0
30.13,1,0,1,895,0.17,0.01,-1.35,-0.19,-0.63,0.24,0
30.13,1,0,1,895,0.16,0.01,-1.28,0.01,-1.11,0.03,0
30.08,1,0,1,895,0.15,0.01,-1.17,0.43,-0.91,-0.18,0
30.04,1,0,1,895,0.14,0.01,-1.04,-0.05,-1.68,0.14,0
30.08,1,0,1,895,0.12,0.01,-0.85,-0.18,-1.44,0.32,0
29.99,1,0,1,895,0.11,0,-0.74,-0.66,-1.34,0.1,0
30.13,1,0,1,895,0.12,0,-0.75,-0.9,-1.36,0.15,0
29.99,1,0,1,895,0.14,0,-0.93,-1.27,-0.52,0.2,0
30.04,1,0,1,895,0.17,0,-1.18,-0.98,-1.25,0.19,0
30.08,1,0,1,895,0.19,0,-1.39,-0.82,-0.73,0.27,0
30.08,1,0,1,895,0.18,0,-1.35,-0.19,-1.5,-0.05,0
30.04,1,0,1,895,0.17,0,-1.19,0,-1.44,0.04,0
29.99,1,0,1,895,0.14,0,-0.94,-0.44,-1.98,0.24,0
30.08,1,0,1,895,0.12,0,-0.72,-0.47,-1.34,0.34,0
29.99,1,0,1,895,0.13,0,-0.81,-1.07,-1.11,-0.05,0
30.13,1,0,1,895,0.16,0,-1.14,-1.29,-1.37,0.15,0
30.13,1,0,1,895,0.19,-0.01,-1.4,-0.64,-1.58,0.27,0
29.99,1,0,1,896,0.18,-0.01,-1.28,-0.02,-1.13,-0.03,0
30.13,1,0,1,895,0.15,-0.01,-1.01,-0.28,-1.75,0.06,0
30.08,1,0,1,894,0.12,-0.01,-0.72,-0.36,-1.49,0.18,0
